Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url
2023,Cádiz,La Liga,Santiago Arzamendia,PAR,"DF,MF",24,1998,12,5,483,5.4,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,8,17,22,0,0,0,0,0,0.04,0.09,0.12,0.04,0.12,https://fbref.com/en/players/759d8dd7/Santiago-Arzamendia
2023,Cádiz,La Liga,Antonio Blanco,ESP,MF,22,2000,3,2,158,1.8,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0.01,0.01,0,0.01,https://fbref.com/en/players/506daeac/Antonio-Blanco
2023,Cádiz,La Liga,Theo Bongonda,COD,"MF,FW",26,1995,31,24,1938,21.5,4,3,7,3,1,1,2,0,5.2,4.4,3,7.4,74,39,105,0.19,0.14,0.33,0.14,0.28,0.24,0.14,0.38,0.2,0.34,https://fbref.com/en/players/0da6a13e/Theo-Bongonda
2023,Cádiz,La Liga,Cala,ESP,DF,32,1989,3,1,137,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,https://fbref.com/en/players/fe05804b/Cala
2023,Cádiz,La Liga,Isaac Carcelen,ESP,DF,29,1993,27,25,2199,24.4,0,1,1,0,0,0,4,3,0.2,0.2,1.3,1.6,33,85,62,0,0.04,0.04,0,0.04,0.01,0.05,0.06,0.01,0.06,https://fbref.com/en/players/c4b888df/Isaac-Carcelen
2023,Cádiz,La Liga,Víctor Chust,ESP,DF,22,2000,14,10,965,10.7,1,0,1,1,0,0,3,0,0.9,0.9,0,1,4,22,2,0.09,0,0.09,0.09,0.09,0.09,0,0.09,0.09,0.09,https://fbref.com/en/players/ec1a731e/Victor-Chust
2023,Cádiz,La Liga,Mamady Diarra,MLI,"MF,DF",22,2000,2,1,66,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,3,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,https://fbref.com/en/players/80211dc5/Mamady-Diarra
2023,Cádiz,La Liga,Youba Diarra,MLI,MF,24,1998,5,1,98,1.1,0,0,0,0,0,0,2,0,0,0,0.5,0.5,1,3,1,0,0,0,0,0,0,0.45,0.45,0,0.45,https://fbref.com/en/players/d61759ec/Youba-Diarra
2023,Cádiz,La Liga,Gonzalo Escalante,ARG,MF,29,1993,14,13,1121,12.5,4,1,5,4,0,0,4,0,3.5,3.5,1.5,5,3,50,12,0.32,0.08,0.4,0.32,0.4,0.28,0.12,0.4,0.28,0.4,https://fbref.com/en/players/3f79a1c8/Gonzalo-Escalante
2023,Cádiz,La Liga,Alfonso Espino,URU,DF,30,1992,36,35,3122,34.7,0,4,4,0,0,0,7,0,1.5,1.5,4.2,5.7,53,107,129,0,0.12,0.12,0,0.12,0.04,0.12,0.16,0.04,0.16,https://fbref.com/en/players/db001fa9/Alfonso-Espino
2023,Cádiz,La Liga,Fali,ESP,"DF,MF",28,1993,25,22,1714,19,0,0,0,0,0,0,6,0,0.6,0.6,0.2,0.8,9,56,10,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,https://fbref.com/en/players/72a84002/Fali
2023,Cádiz,La Liga,Álex Fernández,ESP,"MF,FW",29,1992,28,17,1576,17.5,3,0,3,2,1,1,0,0,2.7,1.9,1.6,3.4,19,69,26,0.17,0,0.17,0.11,0.11,0.15,0.09,0.24,0.11,0.2,https://fbref.com/en/players/aa677a35/Alex-Fernandez
2023,Cádiz,La Liga,Carlos García,ESP,DF,22,2000,1,0,25,0.3,0,1,1,0,0,0,0,0,0,0,0.1,0.1,0,2,0,0,3.6,3.6,0,3.6,0,0.4,0.4,0,0.4,https://fbref.com/en/players/661e2822/Carlos-Garcia
2023,Cádiz,La Liga,David Gil,ESP,GK,28,1994,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/fea23125/David-Gil
2023,Cádiz,La Liga,Álvaro Giménez,ESP,FW,31,1991,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/18017beb/Alvaro-Gimenez
2023,Cádiz,La Liga,Sergi Guardiola,ESP,FW,31,1991,17,14,1165,12.9,3,0,3,3,0,0,2,0,3.4,3.4,0.5,3.9,12,28,55,0.23,0,0.23,0.23,0.23,0.26,0.04,0.3,0.26,0.3,https://fbref.com/en/players/32974271/Sergi-Guardiola
