"Rank","Player","Team","BigChancesCreated","TotalAssists","Minutes","Matches","Country"
188,"Martin Zubimendi","Real Sociedad",2,1,2655,31,"ESP"
188,"Nacho Fernandez","Real Madrid",2,1,1739,29,"ESP"
188,"Nemanja Gudelj","Sevilla",2,1,1744,22,"SRB"
188,"Omar Alderete","Getafe",2,1,2194,31,"PAR"
188,"Pep Chavarria","Rayo Vallecano",2,1,1164,22,"ESP"
188,"Pepelu","Valencia CF",2,1,3305,37,"ESP"
188,"Raul Garcia","Osasuna",2,1,1347,35,"ESP"
188,"Rubén Alcaraz","Cádiz",2,1,3138,36,"ESP"
188,"Samuel Omorodion","Alavés",2,1,2003,35,"ESP"
188,"Sergio Camello","Rayo Vallecano",2,1,1668,31,"ESP"
188,"Sergio Rodelas","Granada CF",2,1,122,3,"ESP"
188,"Umar Sadiq","Real Sociedad",2,1,1074,26,"NGA"
188,"Youssouf Sabaly","Real Betis",2,1,1048,12,"SEN"
226,"Abderrahman Rebbach","Alavés",2,0,713,23,"ALG"
226,"Álvaro Fernández","Granada CF",2,0,474,13,"ESP"
226,"Anthony Lozano","Almería",2,0,866,19,"HON"
226,"Dimitri Foulquier","Valencia CF",2,0,1833,33,"FRA"
226,"Erik Lamela","Sevilla",2,0,459,13,"ARG"
226,"Hannibal Mejbri","Sevilla",2,0,101,6,"TUN"
226,"Jorge de Frutos","Rayo Vallecano",2,0,1542,36,"ESP"
226,"Joseba Zaldua","Cádiz",2,0,709,13,"ESP"
226,"Juanmi Latasa","Getafe",2,0,1553,32,"ESP"
226,"Julian Araujo","Las Palmas",2,0,1462,25,"MEX"
226,"Leo Baptistao","Almería",2,0,1843,32,"BRA"
226,"Miguel Crespo","Rayo Vallecano",2,0,521,15,"POR"
226,"Paulo Gazzaniga","Girona",2,0,3420,38,"ARG"
226,"Peter González","Valencia CF",2,0,646,15,"DOM"
240,"Lucas Boye","Granada CF",1,3,2555,31,"ARG"
240,"William Carvalho","Real Betis",1,3,669,22,"POR"
242,"Damian Rodriguez","Celta de Vigo",1,2,257,5,"ESP"
242,"Gonzalo Escalante","Cádiz",1,2,1702,25,"ARG"
242,"Hamari Traoré","Real Sociedad",1,2,2296,31,"MLI"
242,"Héctor Fort","Barcelona",1,2,320,7,"ESP"
242,"Igor Zubeldia","Real Sociedad",1,2,2523,30,"ESP"
242,"Juan Iglesias","Getafe",1,2,1413,23,"ESP"
242,"Pablo Maffeo","Mallorca",1,2,1456,22,"ARG"
242,"Sergi Roberto","Barcelona",1,2,863,14,"ESP"
250,"Alberto Mari","Valencia CF",1,1,264,16,"ESP"
250,"Álex Balde","Barcelona",1,1,1378,18,"ESP"
250,"Álex Fernández","Cádiz",1,1,1283,26,"ESP"
250,"Antonio Sánchez","Mallorca",1,1,1463,29,"ESP"
250,"Aritz Elustondo","Real Sociedad",1,1,808,15,"ESP"
250,"Aurélien Tchouaméni","Real Madrid",1,1,1987,27,"FRA"
250,"Benito","Las Palmas",1,1,368,20,"ESP"
250,"Carlos Benavidez","Alavés",1,1,1121,29,"URU"
250,"Carlos Fernández","Real Sociedad",1,1,406,10,"ESP"
250,"David Garcia","Osasuna",1,1,2336,27,"ESP"
250,"Djibril Sow","Sevilla",1,1,1469,24,"SUI"
250,"Enes Ünal","Getafe",1,1,138,3,"TUR"
250,"Enzo Loiodice","Las Palmas",1,1,1792,34,"FRA"
250,"Étienne Capoue","Villarreal",1,1,1444,32,"FRA"
250,"Facundo Pellistri","Granada CF",1,1,1220,15,"URU"
