Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,Url
2023,Barcelona,La Liga,Héctor Bellerín,ESP,DF,27,1995,1.6,96,82,13,1,1,0,3,12,0,0,0,0,77,1,3,https://fbref.com/en/players/f874dd44/Hector-Bellerin
2023,Barcelona,La Liga,Sergio Busquets,ESP,MF,34,1988,26,1949,1870,74,71,15,5,7,3,0,0,0,0,1722,5,17,https://fbref.com/en/players/5ab0ea87/Sergio-Busquets
2023,Barcelona,La Liga,Andreas Christensen,DEN,DF,26,1996,19.6,1507,1445,62,48,3,14,1,10,0,0,0,0,1416,0,7,https://fbref.com/en/players/1cb49278/Andreas-Christensen
2023,Barcelona,La Liga,Ousmane Dembélé,FRA,FW,25,1997,15.7,854,768,80,7,13,4,106,8,65,17,19,1,642,6,38,https://fbref.com/en/players/b19db005/Ousmane-Dembele
2023,Barcelona,La Liga,Ansu Fati,ESP,FW,19,2002,15.5,609,590,14,3,1,3,9,3,5,1,0,0,509,5,21,https://fbref.com/en/players/0ba976e4/Ansu-Fati
2023,Barcelona,La Liga,Eric García,ESP,"DF,MF",21,2001,15.7,1257,1205,50,33,2,13,0,16,0,0,0,0,1142,2,8,https://fbref.com/en/players/2bed3eab/Eric-Garcia
2023,Barcelona,La Liga,Aleix Garrido,ESP,FW,18,2004,0.1,3,3,0,0,0,0,1,0,0,0,0,0,2,0,0,https://fbref.com/en/players/5757adc3/Aleix-Garrido
2023,Barcelona,La Liga,Gavi,ESP,"MF,FW",17,2004,28.1,1206,1157,45,13,8,13,38,9,0,0,0,0,1026,4,27,https://fbref.com/en/players/19cae58d/Gavi
2023,Barcelona,La Liga,Frenkie de Jong,NED,MF,25,1997,28.2,2320,2246,63,39,19,17,37,15,8,2,2,0,2089,11,24,https://fbref.com/en/players/1bacc518/Frenkie-de-Jong
2023,Barcelona,La Liga,Franck Kessié,CIV,MF,25,1996,11,457,441,13,6,2,5,5,3,1,0,0,0,391,3,5,https://fbref.com/en/players/05e19d6a/Franck-Kessie
2023,Barcelona,La Liga,Jules Koundé,FRA,DF,23,1998,27,2024,1840,180,50,4,11,36,130,0,0,0,0,1775,4,25,https://fbref.com/en/players/4d1666ff/Jules-Kounde
2023,Barcelona,La Liga,Robert Lewandowski,POL,FW,33,1988,31.6,793,767,14,4,16,5,19,0,0,0,0,0,602,12,24,https://fbref.com/en/players/8d78e732/Robert-Lewandowski
2023,Barcelona,La Liga,Memphis,NED,FW,28,1994,1.3,66,60,6,1,1,0,4,0,4,0,2,0,53,0,1,https://fbref.com/en/players/8f696594/Memphis
2023,Barcelona,La Liga,Pedri,ESP,MF,19,2002,22,1449,1384,59,22,24,24,25,11,13,1,11,0,1251,6,25,https://fbref.com/en/players/0d9b2d31/Pedri
