Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Url
2023,Barcelona,La Liga,Ronald Araújo,URU,DF,23,1999,20,26,18,12,13,1,6,9,66.7,3,15,7,8,12,38,41,1,https://fbref.com/en/players/2bef2bca/Ronald-Araujo
2023,Barcelona,La Liga,Pierre-Emerick Aubameyang,GAB,FW,33,1989,0.1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang
2023,Barcelona,La Liga,Alejandro Balde,ESP,DF,18,2003,27.5,42,30,22,16,4,24,41,58.5,17,25,3,22,12,54,17,1,https://fbref.com/en/players/5ccc9672/Alejandro-Balde
2023,Barcelona,La Liga,Héctor Bellerín,ESP,DF,27,1995,1.6,2,0,0,2,0,2,3,66.7,1,2,0,2,3,5,2,0,https://fbref.com/en/players/f874dd44/Hector-Bellerin
2023,Barcelona,La Liga,Sergio Busquets,ESP,MF,34,1988,26,58,26,24,26,8,29,51,56.9,22,32,6,26,27,85,36,2,https://fbref.com/en/players/5ab0ea87/Sergio-Busquets
2023,Barcelona,La Liga,Andreas Christensen,DEN,DF,26,1996,19.6,20,15,9,11,0,10,16,62.5,6,14,12,2,21,41,47,0,https://fbref.com/en/players/1cb49278/Andreas-Christensen
2023,Barcelona,La Liga,Ousmane Dembélé,FRA,FW,25,1997,15.7,19,12,4,8,7,4,15,26.7,11,10,1,9,0,19,2,0,https://fbref.com/en/players/b19db005/Ousmane-Dembele
2023,Barcelona,La Liga,Ansu Fati,ESP,FW,19,2002,15.5,16,9,8,4,4,5,18,27.8,13,19,0,19,5,21,6,0,https://fbref.com/en/players/0ba976e4/Ansu-Fati
2023,Barcelona,La Liga,Eric García,ESP,"DF,MF",21,2001,15.7,24,16,16,5,3,9,20,45,11,23,10,13,19,43,36,1,https://fbref.com/en/players/2bed3eab/Eric-Garcia
2023,Barcelona,La Liga,Aleix Garrido,ESP,FW,18,2004,0.1,2,1,1,0,1,1,1,100,0,1,0,1,0,2,0,0,https://fbref.com/en/players/5757adc3/Aleix-Garrido
2023,Barcelona,La Liga,Gavi,ESP,"MF,FW",17,2004,28.1,47,31,7,30,10,21,55,38.2,34,32,5,27,18,65,22,0,https://fbref.com/en/players/19cae58d/Gavi
2023,Barcelona,La Liga,Frenkie de Jong,NED,MF,25,1997,28.2,46,26,16,21,9,17,41,41.5,24,11,1,10,35,81,22,1,https://fbref.com/en/players/1bacc518/Frenkie-de-Jong
2023,Barcelona,La Liga,Franck Kessié,CIV,MF,25,1996,11,15,9,6,6,3,8,18,44.4,10,10,2,8,12,27,11,2,https://fbref.com/en/players/05e19d6a/Franck-Kessie
2023,Barcelona,La Liga,Jules Koundé,FRA,DF,23,1998,27,37,23,18,13,6,21,31,67.7,10,24,9,15,19,56,61,3,https://fbref.com/en/players/4d1666ff/Jules-Kounde
2023,Barcelona,La Liga,Robert Lewandowski,POL,FW,33,1988,31.6,17,11,2,5,10,7,14,50,7,20,0,20,2,19,14,0,https://fbref.com/en/players/8d78e732/Robert-Lewandowski
2023,Barcelona,La Liga,Memphis,NED,FW,28,1994,1.3,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,https://fbref.com/en/players/8f696594/Memphis
